Derating_factor_2,Derating_factor_1,Resource,Derating_factor_3
0.0,0.8,UT_utilitypv_class1_moderate_2,0.0
0.0,0.8,UT_utilitypv_class1_moderate_3,0.0
0.0,0.9,UT_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,UT_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,UT_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_1,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_2,0.0
0.0,0.8,UT_landbasedwind_class3_moderate_3,0.0
0.0,0.8,UT_utilitypv_class1_moderate_1,0.0
0.0,0.8,UT_utilitypv_class1_moderate_2,0.0
0.0,0.8,UT_utilitypv_class1_moderate_3,0.0
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.9,WA_naturalgas_combustion_turbine_fframe_moderate_0,0.0
0.0,0.95,WA_utilityscale_battery_storage_lithium_ion_moderate_0,0.0
0.0,0.9,WA_nuclear_nuclear__large_moderate_0,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_1,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_2,0.0
0.0,0.8,WA_landbasedwind_class3_moderate_3,0.0
0.0,0.8,WA_utilitypv_class1_moderate_1,0.0
0.0,0.8,WA_utilitypv_class1_moderate_2,0.0
0.0,0.8,WA_utilitypv_class1_moderate_3,0.0
0.0,0.0,AZ_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,AZ_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,AZ_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,AZ_landbasedwind_class3_moderate_1,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_2,0.8
0.0,0.0,AZ_landbasedwind_class3_moderate_3,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_1,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_2,0.8
0.0,0.0,AZ_utilitypv_class1_moderate_3,0.8
0.0,0.0,NM_naturalgas_combustion_turbine_fframe_moderate_0,0.9
0.0,0.0,NM_utilityscale_battery_storage_lithium_ion_moderate_0,0.95
0.0,0.0,NM_nuclear_nuclear__large_moderate_0,0.9
0.0,0.0,NM_landbasedwind_class3_moderate_1,0.8
